age,mean_offset,offset_error,offset_p,mean_granger_lag,granger_error,granger_p
under20,-1.0368663594470047,0.31001807439031687,0.00056,0.21490467937608318,0.266855209265355,0.21151
20to30,-1.8744588744588744,0.30207701287822897,0.0,0.02936378466557912,0.2469869365213381,0.45302
30to40,-1.3421052631578947,0.30363570303561405,1e-05,0.5094339622641509,0.25475905701232815,0.02346
40to50,-0.11025641025641025,0.3422856149301564,0.37431,0.6109154929577465,0.2526962457472885,0.00786
over50,-1.880466472303207,0.3499770327603047,0.0,0.13092979127134724,0.2666384160652062,0.3114
